,Address,Price,Property_Type,Latitude,Longitude,Bedrooms,Bathrooms,Size
115,"Willow Road Bournville, Birmingham, B30",750000,Penthouse,52.434386,-1.933517,3.0,2.0,"1,280 sq. ft."
116,"Symphony Court, Birmingham, West Midlands, B16 8AD",750000,House,52.477878,-1.916265,3.0,2.0,"1,689 sq. ft."
117,"Portland Road, Birmingham",750000,Semi-Detached,52.47381,-1.94107,5.0,1.0,
118,"Development Opportunity Plot 1 and 2 at 134 Newton Road, B43 6BT",750000,Land,52.54446,-1.942965,,,
119,"Gillhurst Road, Harborne, Birmingham, B17 8PE",745000,Semi-Detached,52.466333,-1.955908,4.0,3.0,
120,"St Paul''s Court, 23 St. Paul''s Square, Birmingham",735000,Town House,52.485866,-1.905432,3.0,2.0,"1,324 sq. ft."
121,"Belle Walk, Moseley",730000,Detached,52.446498,-1.87267,7.0,5.0,
122,"Park Hill Road, Harborne, Birmingham, B17 9HJ",725000,Semi-Detached,52.462595,-1.950175,4.0,2.0,
123,"Lonsdale Road, Harborne",725000,House,52.459602,-1.957931,4.0,2.0,
124,"Yardley Wood Road, Moseley, Birmingham, B13",725000,Detached,52.448885,-1.873094,4.0,3.0,
125,"Selly Wick Drive, Selly Park, Birmingham, B29",195000,Apartment,52.44321,-1.917584,2.0,1.0,
126,"Milford Road, Birmingham, B17 9RL",720000,Semi-Detached,52.45723,-1.962357,6.0,,
127,"Holly Gardens, Birmingham, B20",715000,Detached,52.523586,-1.932005,5.0,3.0,
128,"Antrobus Road, Sutton Coldfield",700000,House,52.545761,-1.845188,6.0,4.0,
129,"Knightlow Road, Harborne",700000,Detached,52.468339,-1.961923,3.0,1.0,
130,"Warstone Lane, Birmingham, West Midlands B18 6NZ",700000,House,52.48719,-1.915073,4.0,2.0,"1,685 sq. ft."
131,"Lordswood Road, Harborne",700000,Detached,52.46096,-1.96331,4.0,2.0,"1,609 sq. ft."
132,"Chester Road, Castle Bromwich, Birmingham, B36",700000,Detached,52.50554,-1.78294,4.0,2.0,
133,"Canal Wharf, 12 Waterfront Walk, Birmingham, West Midlands, B1",700000,Flat,52.47541,-1.90765,2.0,3.0,
134,"Keel Drive, Moseley, Birmingham, B13",700000,Detached,52.437811,-1.856504,4.0,2.0,
135,"Hubert Road, Birmingham",700000,House,52.441196,-1.932438,7.0,7.0,
136,"Dawlish Road, Birmingham",700000,House,52.441867,-1.929655,8.0,8.0,
137,"Sherborne Lofts, Grosvenor Street West, B16 8HW",700000,Duplex,52.476203,-1.916443,2.0,3.0,"1,684 sq. ft."
138,"Alcester Road, Portway, Birmingham, Warwickshire, B48 7JB",700000,Semi-Detached,52.447025,-1.888072,5.0,,
139,"Deeley Close, Edgbaston B15",700000,Detached,52.46651,-1.91237,4.0,3.0,
140,"Newton Road, Great Barr, Birmingham",700000,Detached,52.5447,-1.94094,5.0,2.0,
141,"Newton Road, Great Barr, Birmingham, B43 6AA",700000,Detached,52.545482,-1.937013,6.0,5.0,"4,420 sq. ft."
142,"St Johns Wood, Rednal, Birmingham, B45 8DL",700000,Detached,52.384434,-2.004657,5.0,3.0,
143,"Bristol Road, Edgbaston, B5",700000,House,52.448184,-1.922086,6.0,2.0,
144,"Serpentine Road, Selly Park, Birmingham, B29 7HU",699950,Detached,52.44413,-1.92551,6.0,3.0,
145,"Queensway House, 57 Livery Street, B3 1HA",699950,Duplex,52.484912,-1.902043,3.0,3.0,"2,357 sq. ft."
146,"Teazel Avenue, Birmingham",699000,House,52.425079,-1.944777,5.0,3.0,
147,"Silvermead Road, Sutton Coldfield, B73 5SR",695000,Detached,52.54647,-1.832597,4.0,3.0,
148,"Darnick Road, Boldmere",695000,Detached,52.55438,-1.85733,5.0,2.0,
149,"Sherborne Lofts, 33 Grosvenor Street West",695000,Apartment,52.47676,-1.91692,2.0,2.0,"2,362 sq. ft."
150,"Sherborne Lofts, 33 Grosvenor Street West",695000,Apartment,52.47676,-1.91692,2.0,2.0,"2,362 sq. ft."
151,"Blackthorn Close, Bournville, Birmingham, B30",695000,Detached,52.42275,-1.95219,4.0,1.0,
152,"Concord House, Birmingham",695000,Apartment,52.47397,-1.90367,2.0,2.0,"2,070 sq. ft."
153,"Pavenham Drive, Edgbaston",695000,Detached,52.451911,-1.911256,4.0,2.0,"2,096 sq. ft."
154,"Alcester Road, Hollywood, Birmingham",685000,Detached,52.398659,-1.88215,4.0,4.0,
155,"Melrose Avenue, Sutton Coldfield",685000,Detached,52.551799,-1.848009,4.0,1.0,
156,"The Grange, Handsworth Wood",680000,Detached,52.523471,-1.927817,5.0,4.0,
157,"Greenfield Road, Harborne, Birmingham, B17 0EF",679950,Terraced,52.457623,-1.948135,4.0,3.0,
158,"Wood Lane, Harborne, Birmingham",675000,Link Detached House,52.461101,-1.96754,5.0,3.0,
159,"Boldmere Road, Sutton Coldfield, West Midlands",675000,Semi-Detached,52.543598,-1.8398,4.0,2.0,
160,"Ingham Way, Harborne",675000,Detached,52.467889,-1.971632,3.0,3.0,
